No,JenisBahanBakar,MassaJenisUdara(kg/m3),Suhu(K),Tekanan(atm),HasilUjiEmisiCO(ppm),AFR(g/g),KonsentrasiCOdiUdara(g/m3),BesaranEmisiCO(g/kg)
495,Pertamax,,300,0.9968,7700,14.9,8.721,100.498
496,Pertamax,,299,0.9948,14900,14.2,16.899,185.586
497,Pertamax,,300,0.9958,10100,14.6,11.428,129.040
498,Pertamax,,300,0.9958,6500,15.1,7.355,85.890
499,Pertamax,,305,1.0047,8000,14.7,8.992,102.227
500,Pertamax,,302,1.0086,13600,14.3,15.473,171.125
501,Pertamax,,302,1.0086,23700,14.1,26.964,294.040
502,Pertamax,,301,1.0067,3200,14.6,3.654,41.261
503,Pertamax,,300,0.9978,6600,14.9,7.483,86.227
504,Pertamax,,300,0.9978,42500,13.6,48.184,506.803
505,Pertamax,,301,0.9978,78100,11.9,88.250,812.203
506,Pertamax,,299,0.9968,74100,12.2,84.207,794.527
507,Pertamax,,303,0.9948,10400,15.6,11.639,140.430
508,Pertamax,,303,0.9948,1000,17.6,1.119,15.234
509,Pertamax,,301,1.0086,13100,14.5,14.974,167.917
510,Pertamax,,302,1.0076,6900,16,7.856,97.208
511,Pertamax,,302,1.0057,10200,14.9,11.598,133.646
512,Pertamax,,302,1.0057,22800,13.9,25.924,278.688
513,Pertamax,,301,1.0057,4100,22.4,4.666,80.841
514,Pertamax,,303,1.0076,2900,14.4,3.293,36.673
515,Pertamax,,304,1.0067,5200,18.7,5.872,84.918
516,Pertamax,,303,1.0096,3600,21.3,4.094,67.448
517,Pertamax,,303,1.0096,38800,13.4,44.129,457.326
518,Pertamax,,305,1.0057,7400,14.6,8.328,94.040
519,Pertamax,,302,0.9988,18200,14.1,20.518,223.742
520,Pertamax,,302,0.9988,2900,14.8,3.269,37.421
521,Pertamax,,302,0.9968,8500,14.5,9.563,107.247
522,Pertamax,,303,0.9958,2300,14.6,2.577,29.095
523,Pertamax,,305,1.0047,9400,14.6,10.565,119.300
524,Pertamax,,299,0.9938,4500,17.9,5.099,70.584
525,Pertamax,,301,0.9968,800,14.8,0.903,10.337
526,Pertamax,,301,0.9988,29200,13.8,33.028,352.499
527,Pertamax,,302,1.0076,600,15.3,0.683,8.083
528,Pertamax,,303,1.0057,40600,13.3,45.995,473.114
529,Pertamax,,301,1.0086,6900,14.8,7.887,90.275
530,Pertamax,,303,1.0057,4900,16.8,5.544,72.031
531,Pertamax,,299,1.0086,9300,14.8,10.694,122.407
532,Pertamax,,301,1.0106,6900,15.9,7.894,97.077
533,Pertamax,,305,1.0057,14700,14.2,16.544,181.691
534,Pertamax,,303,1.0076,80100,10.1,90.772,709.050
535,Pertamax,,300,0.9938,3600,18.6,4.065,58.480
536,Pertamax,,302,0.9968,34200,18,38.479,535.668
537,Pertamax,,299,1.0076,46900,20.9,53.931,871.746
538,Pertamax,,305,1.0057,13100,15.3,14.753,174.573
539,Pertamax,,301,1.0076,3300,20.1,3.771,58.618
540,Pertamax,,304,1.0057,6600,23.1,7.455,133.185
541,Pertamax,,304,0.9919,80100,10.4,89.086,716.543
542,Pertamax,,300,0.9968,11800,28.7,13.365,296.651
543,Pertamax,,301,1.0057,5000,25.9,5.695,114.067
544,Pertamax,,301,1.0057,2700,23.2,3.072,55.120
545,Pertamax,,301,1.0076,59500,16,67.830,839.355
546,Pertamax,,300,0.9958,22800,18.1,25.798,361.131
547,Pertamax,,302,0.9968,37700,13.6,42.417,446.146
548,Pertamax,,303,1.0057,43300,14.8,48.941,560.189
549,Pertamax,,306,0.9928,46100,15.4,50.987,607.273
550,Pertamax,,299,0.9938,35000,21.2,39.656,650.194
551,Pertamax,,304,0.9988,37800,23.1,42.333,756.301
552,Pertamax,,301,1.0076,49000,13.7,55.860,591.869
553,Pertamax,,301,1.0067,63000,19.1,71.965,1063.05
554,Pertamax,,302,1.0076,25600,19,29.088,427.429
555,Pertamax,,299,1.0076,63100,13.1,72.560,735.142
556,Pertamax,,299,1.0076,66700,14.2,76.700,842.335
557,Pertamax,,304,0.9968,79800,11.4,89.194,786.393
558,Pertamax,,304,1.0037,47900,16.4,53.981,684.672
559,Pertamax,,303,1.0076,9300,18.9,10.539,154.052
560,Pertamax,,302,1.0057,45000,16.2,51.166,641.057
561,Pertamax,,299,0.9938,25000,18.3,28.325,400.894
562,Pertamax,,302,1.0076,33100,17.9,37.622,520.829
563,Pertamax,,302,0.9968,48300,15.1,54.343,634.631
564,Pertamax,,302,0.9968,19200,15.8,21.602,263.970
565,Pertamax,,301,1.0076,7500,23.5,8.570,155.757
566,Pertamax,,301,1.0106,52500,16,60.066,743.277
567,Pertamax,,303,0.9958,5400,17.7,6.050,82.813
568,Pertamax,,303,1.0067,10500,20.5,11.883,188.407
569,Pertamax,,301,1.0106,7300,21.4,8.352,138.232
570,Pertamax,,303,1.0076,27300,19.3,30.917,461.484
571,Pertamax,,304,0.9899,22800,15,25.307,293.587
572,Pertamax,,301,1.0057,34400,16.4,39.139,496.432
573,Pertamax,,304,0.9968,31800,18.6,35.543,511.295
574,Pertamax,,304,0.9968,16700,19,18.666,274.285
575,Pertamax,,301,1.0057,67800,13.1,77.218,782.331
576,Pertamax,,304,0.9919,95300,11.4,105.991,934.489
577,Pertamax,,302,1.0057,25100,19.6,28.539,432.612
578,Pertamax,,302,1.0067,49400,15.8,56.131,685.899
579,Pertamax,,303,1.0076,32200,17.5,36.466,493.550
580,Pertamax,,301,1.0067,3200,26.8,3.654,75.739
581,Pertamax,,303,0.9948,71100,13.1,79.574,806.199
582,Pertamax,,302,0.9968,5400,24.8,6.076,116.531
583,Pertamax,,302,0.9938,3300,15.9,3.702,45.521
584,Pertamax,,303,1.0057,10800,28.9,12.219,273.109
585,Pertamax,,303,0.9919,61200,12.7,68.290,670.752
586,Pertamax,,301,1.0057,8700,19.1,9.899,146.221
587,Pertamax,,303,1.0076,6600,15.5,7.494,89.838
588,Pertamax,,305,0.9948,6500,25.4,7.227,141.969
589,Pertamax,,305,0.9948,4600,22.3,5.114,88.208
590,Pertamax,,301,0.9958,32500,18.8,36.651,532.903
591,Pertamax,,303,0.9909,19600,14.3,21.849,241.639
592,Pertamax,,305,1.0057,6300,15.1,7.095,82.857
593,Pertamax,,301,1.0067,700,18.1,0.799,11.190
594,Pertamax,,299,1.0047,5100,14.9,5.849,67.405
595,Pertamax,,299,1.0047,6800,15.1,7.799,91.080
596,Pertamax,,304,0.9948,19800,24.3,22.087,415.090
597,Pertamax,,304,0.9938,4300,15,4.792,55.590
598,Pertamax,,301,0.9988,4200,25.2,4.751,92.586
599,Pertamax,,302,1.0076,200,18.1,0.228,3.187
600,Pertamax,,300,1.0076,37300,20.9,42.692,690.075
601,Pertamax,,303,0.9909,17200,21.1,19.174,312.885
602,Pertamax,,303,1.0057,53400,15.9,60.496,743.921
603,Pertamax,,302,0.9988,10100,22.1,11.386,194.612
604,Pertamax,,305,0.9948,2300,17.3,2.557,34.215
605,Pertamax,,302,0.9938,6200,14.7,6.955,79.070
606,Pertamax,,303,0.9958,5400,18.4,6.050,86.088
607,Pertamax,,301,1.0086,4200,25.9,4.801,96.162
608,Pertamax,,303,1.0047,22400,15,25.318,293.716
609,Pertamax,,303,1.0076,12100,16.2,13.703,171.687
610,Pertamax,,303,0.9938,28500,23.1,31.865,569.281
611,Pertamax,,299,0.9948,200,14.5,0.227,2.544
612,Pertamax,,303,1.0096,54800,21.3,62.326,1026.72
613,Pertamax,,301,0.9978,70500,15.2,79.663,936.482
614,Pertamax,,303,1.0096,88900,11.6,101.042,906.489
615,Pertamax,,303,1.0096,1600,23,1.819,32.348
616,Pertamax,,302,1.0076,16300,16.1,18.557,231.071
617,Pertamax,,303,0.9899,75600,12.4,84.190,807.393
618,Pertamax,,303,1.0047,83100,11.7,94.020,850.757
619,Pertamax,,302,0.9938,2400,15.3,2.692,31.857
620,Pertamax,,304,0.9919,61800,13.6,68.733,722.943
621,Pertamax,,303,0.9938,55300,13.7,61.829,655.113
622,Pertamax,,303,0.9948,46600,18.7,52.154,754.273
623,Pertamax,,305,0.9948,76100,12.2,84.611,798.344
624,Pertamax,,302,1.0057,70700,12.2,80.307,757.734
625,Pertamax,,302,0.9919,68200,12.5,76.353,738.136
626,Pertamax,,304,0.9899,61300,12.7,68.041,668.306
627,Pertamax,,304,0.9968,77900,12.1,87.070,814.807
628,Pertamax,,304,0.9968,85800,11.8,95.900,875.188
629,Pertamax,,305,1.0057,33300,13.5,37.502,391.554
630,Pertamax,,305,0.9948,13500,26.7,15.010,309.949
631,Pertamax,,305,0.9948,33300,17.6,37.024,503.967
632,Pertamax,,305,0.9928,50500,14.3,56.037,619.741
633,Pertamax,,304,0.9919,66800,13,74.294,746.958
634,Pertamax,,302,1.0057,72700,12.2,82.661,779.944
635,Pertamax,,300,1.0057,69900,13.6,79.875,840.137
636,Pertamax,,301,1.0076,68600,12.5,78.386,757.796
637,Pertamax,,302,1.0076,66000,13,74.992,753.976
638,Pertamax,,304,0.9928,33500,25.9,37.295,747.056
639,Pertamax,,303,0.9968,3800,17.8,4.261,58.663
640,Pertamax,,303,0.9968,7500,15.4,8.411,100.171
641,Pertamax,,304,0.9938,36500,19.6,40.675,616.579
642,Pertamax,,302,1.0057,13800,20.8,15.691,252.413
643,Pertamax,,302,0.9948,52600,16.8,59.064,767.417
644,Pertamax,,302,1.0096,8400,14.1,9.582,104.492
645,Pertamax,,304,1.0067,68100,12.2,77.022,726.733
646,Pertamax,,303,1.0057,3200,14.5,3.617,40.561
647,Pertamax,,304,0.9928,13100,26.6,14.584,300.028
648,Pertamax,,302,0.9909,45400,19.2,50.777,753.992
649,Pertamax,,303,0.9938,9900,15.5,11.069,132.690
650,Pertamax,,302,0.9938,41000,17.5,45.993,622.482
651,Pertamax,,305,0.9909,21100,16.8,23.367,303.606
652,Pertamax,,301,1.0057,14800,13.8,16.839,179.721
653,Pertamax,,302,0.9968,18000,13.8,20.252,216.147
654,Pertamax,,304,0.9928,4500,14.5,5.010,56.181
655,Pertamax,,301,1.0076,17300,13.7,19.768,209.452
656,Pertamax,,301,1.0076,28300,13.5,32.262,336.844
657,Pertamax,,305,0.9928,46000,13.4,51.043,528.988
658,Pertamax,,302,1.0076,1700,17,1.937,25.464
659,Pertamax,,302,0.9958,1000,14.5,1.124,12.605
